Database version,,,,,,
8,,,,,,
,,,,,,
Table,,,,,,
clusters,,,,,,
Cluster ID, Name, Order,,,,
202,9,115,7/3/2024,,,
203,9,110,6/26/2024,,,
204,9,110,6/19/2024,,,
205,9,110,6/12/2024,,,
206,9,105,6/5/2024,,,
207,9,100,5/29/2024,,,
208,9,95,5/22/2024,,,
209,9,90,5/15/2024,,,
210,9,85,5/8/2024,,,
211,9,85,5/1/2024,,,
212,9,60,4/24/2024,,,
213,9,60,4/17/2024,,,
214,9,60,4/10/2024,,,
215,9,60,4/3/2024,,,
216,9,45,3/27/2024,,,
217,9,45,3/20/2024,,,
218,9,45,3/13/2024,,,
219,9,45,3/6/2024,,,
220,9,45,2/28/2024,,,
221,8,145,2/19/2025,,,
222,8,145,2/12/2025,,,
223,8,145,2/5/2025,,,
224,8,140,1/29/2025,,,
225,8,140,1/22/2025,,,
226,8,140,1/15/2025,,,
227,8,135,1/8/2025,,,
228,8,135,1/1/2025,,,
229,8,135,12/25/2024,,,
230,8,135,12/18/2024,,,
231,8,135,12/11/2024,,,
232,8,135,12/4/2024,,,
233,8,140,11/27/2024,,,
234,8,135,11/20/2024,,,
235,8,135,11/13/2024,,,
236,8,135,11/6/2024,,,
237,8,135,10/30/2024,,,
238,8,130,10/23/2024,,,
239,8,130,10/16/2024,,,
240,8,130,10/9/2024,,,
241,8,125,10/2/2024,,,
242,8,125,9/25/2024,,,
243,8,125,9/18/2024,,,
244,8,125,9/11/2024,,,
245,8,125,9/4/2024,,,
246,8,125,8/28/2024,,,
247,8,120,8/21/2024,,,
248,8,120,8/14/2024,,,
249,8,120,8/7/2024,,,
250,8,115,7/31/2024,,,
251,8,110,7/24/2024,,,
252,8,110,7/17/2024,,,
253,8,110,7/10/2024,,,
254,8,105,7/3/2024,,,
255,8,100,6/26/2024,,,
256,8,100,6/19/2024,,,
257,8,100,6/12/2024,,,
258,8,95,6/5/2024,,,
259,8,90,5/29/2024,,,
260,8,85,5/22/2024,,,
261,8,80,5/15/2024,,,
262,8,75,5/8/2024,,,
263,8,75,5/1/2024,,,
264,8,50,4/24/2024,,,
265,8,50,4/17/2024,,,
266,8,50,4/10/2024,,,
267,8,50,4/3/2024,,,
268,8,35,3/27/2024,,,
269,8,35,3/20/2024,,,
270,8,35,3/13/2024,,,
271,8,35,3/6/2024,,,
272,8,35,2/28/2024,,,
273,10,80,2/17/2025,,,
274,10,75,2/10/2025,,,
275,10,80,2/3/2025,,,
276,10,75,1/27/2025,,,
277,10,75,1/20/2025,,,
278,10,75,1/13/2025,,,
279,10,75,1/6/2025,,,
280,10,75,12/30/2024,,,
281,10,70,12/23/2024,,,
282,10,70,12/16/2024,,,
283,10,70,12/9/2024,,,
284,10,70,12/2/2024,,,
285,10,70,11/25/2024,,,
286,10,65,11/18/2024,,,
287,10,65,11/11/2024,,,
288,10,65,11/4/2024,,,
289,10,65,10/28/2024,,,
290,10,70,10/21/2024,,,
291,10,65,10/14/2024,,,
292,10,65,10/7/2024,,,
293,10,60,9/30/2024,,,
294,10,60,9/23/2024,,,
295,10,65,9/16/2024,,,
296,10,60,9/9/2024,,,
297,10,60,9/2/2024,,,
298,10,60,8/26/2024,,,
299,10,55,8/19/2024,,,
300,10,55,8/12/2024,,,
301,10,55,8/5/2024,,,
302,10,50,7/29/2024,,,
303,10,55,7/22/2024,,,
304,10,55,7/15/2024,,,
305,10,50,7/8/2024,,,
306,10,45,7/1/2024,,,
307,10,45,6/24/2024,,,
308,10,45,6/17/2024,,,
309,10,45,6/10/2024,,,
310,10,45,6/3/2024,,,
311,10,40,5/27/2024,,,
312,10,40,5/20/2024,,,
313,10,40,5/13/2024,,,
314,10,35,5/6/2024,,,
315,10,35,4/29/2024,,,
316,10,35,4/22/2024,,,
317,10,35,4/15/2024,,,
318,10,35,4/8/2024,,,
319,10,25,4/1/2024,,,
320,10,25,3/25/2024,,,
321,10,25,3/18/2024,,,
322,10,25,3/11/2024,,,
323,10,10,3/4/2024,,,
324,10,0,2/26/2024,,,
325,11,120,2/15/2025,,,
326,11,115,2/8/2025,,,
327,11,120,2/1/2025,,,
328,11,115,1/25/2025,,,
329,11,115,1/18/2025,,,
330,11,115,1/11/2025,,,
331,11,115,1/4/2025,,,
332,11,115,12/28/2024,,,
333,11,110,12/21/2024,,,
334,11,110,12/14/2024,,,
335,11,110,12/7/2024,,,
336,11,110,11/30/2024,,,
337,11,110,11/23/2024,,,
338,11,105,11/16/2024,,,
339,11,105,11/9/2024,,,
340,11,105,11/2/2024,,,
341,11,105,10/26/2024,,,
342,11,110,10/19/2024,,,
343,11,105,10/12/2024,,,
344,11,105,10/5/2024,,,
345,11,100,9/28/2024,,,
346,11,100,9/21/2024,,,
347,11,105,9/14/2024,,,
348,11,100,9/7/2024,,,
349,11,100,8/31/2024,,,
350,11,100,8/24/2024,,,
351,11,95,8/17/2024,,,
352,11,95,8/10/2024,,,
353,11,95,8/3/2024,,,
354,11,90,7/27/2024,,,
355,11,95,7/20/2024,,,
356,11,95,7/13/2024,,,
357,11,90,7/6/2024,,,
358,11,85,6/29/2024,,,
359,11,85,6/22/2024,,,
360,11,85,6/15/2024,,,
361,11,85,6/8/2024,,,
362,11,85,6/1/2024,,,
363,11,80,5/25/2024,,,
364,11,80,5/18/2024,,,
365,11,80,5/11/2024,,,
366,11,75,5/4/2024,,,
367,11,75,4/27/2024,,,
368,11,75,4/20/2024,,,
369,11,75,4/13/2024,,,
370,11,75,4/6/2024,,,
371,11,65,3/30/2024,,,
372,11,65,3/23/2024,,,
373,11,65,3/16/2024,,,
374,11,65,3/9/2024,,,
375,11,50,3/2/2024,,,
376,11,40,2/24/2024,,,
377,14,125,2/13/2025,,,
378,14,125,2/6/2025,, ,
379,14,120,1/30/2025,,,
380,14,120,1/23/2025,,,
381,14,120,1/16/2025,,,
382,14,120,1/9/2025,,,
383,14,115,1/2/2025,,,
384,14,120,12/26/2024,,,
385,14,115,12/19/2024,,,
386,14,115,12/12/2024,,,
387,14,115,12/5/2024,,,
388,14,110,11/28/2024,,,
389,14,110,11/21/2024,,,
390,14,110,11/14/2024,,,
391,14,110,11/7/2024,,,
392,14,105,10/31/2024,,,
393,14,105,10/24/2024,,,
394,14,105,10/17/2024,,,
395,14,110,10/10/2024,,,
396,14,105,10/3/2024,,,
397,14,105,9/26/2024,,,
398,14,105,9/19/2024,,,
399,14,100,9/12/2024,,,
400,14,100,9/5/2024,,,
401,14,100,8/29/2024,,,
402,14,90,8/22/2024,,,
403,14,90,8/15/2024,,,
404,14,95,8/8/2024,,,
405,14,85,8/1/2024,,,
406,14,85,7/25/2024,,,
407,14,85,7/18/2024,,,
408,14,85,7/11/2024,,,
409,14,85,7/4/2024,,,
410,14,80,6/27/2024,,,
411,14,80,6/20/2024,,,
412,14,80,6/13/2024,,,
413,14,80,6/6/2024,,,
414,14,75,5/30/2024,,,
415,14,75,5/23/2024,,,
416,14,75,5/16/2024,,,
417,14,75,5/9/2024,,,
418,14,75,5/2/2024,,,
419,14,70,4/25/2024,,,
420,14,70,4/18/2024,,,
421,14,65,4/11/2024,,,
422,14,60,4/4/2024,,,
423,14,60,3/28/2024,,,
424,14,50,3/21/2024,,,
425,14,45,3/14/2024,,,
426,14,45,3/7/2024,,,
427,14,40,2/29/2024,,,
428,14,25,2/22/2024,,,
End,,,,,,
